epoch,step,test_fusion_acc,train_acc,train_loss,val_acc,val_loss
0,49,,0.25,1.8702666759490967,,
0,99,,0.375,1.5950865745544434,,
0,149,,0.375,1.633007526397705,,
0,199,,0.1875,1.9091269969940186,,
0,213,,,,0.3468131721019745,1.467513084411621
1,249,,0.375,1.5438812971115112,,
1,299,,0.46875,1.508420705795288,,
1,349,,0.53125,1.6930978298187256,,
1,399,,0.46875,1.602437973022461,,
1,427,,,,0.38285714387893677,1.3665794134140015
2,449,,0.40625,1.5137836933135986,,
2,499,,0.5,1.4137893915176392,,
2,549,,0.40625,1.469761848449707,,
2,599,,0.46875,1.5202312469482422,,
2,641,,,,0.4953846037387848,1.299800992012024
3,649,,0.53125,1.4179089069366455,,
3,699,,0.4375,1.5362818241119385,,
3,749,,0.5,1.4512182474136353,,
3,799,,0.625,1.3665459156036377,,
3,849,,0.53125,1.3358030319213867,,
3,855,,,,0.4338461458683014,1.3257020711898804
4,899,,0.5,1.3883538246154785,,
4,949,,0.5,1.341591715812683,,
4,999,,0.375,1.372799038887024,,
4,1049,,0.53125,1.4764211177825928,,
4,1069,,,,0.46989011764526367,1.2538498640060425
5,1099,,0.5625,1.432007908821106,,
5,1149,,0.59375,1.3528168201446533,,
5,1199,,0.46875,1.3965446949005127,,
5,1249,,0.46875,1.4201762676239014,,
5,1283,,,,0.4175824224948883,1.2785272598266602
6,1299,,0.59375,1.2821401357650757,,
6,1349,,0.46875,1.5911669731140137,,
6,1399,,0.65625,1.2995893955230713,,
6,1449,,0.59375,1.4354338645935059,,
6,1497,,,,0.46989011764526367,1.2709065675735474
7,1499,,0.375,1.6014128923416138,,
7,1549,,0.5,1.397109031677246,,
7,1599,,0.53125,1.420182704925537,,
7,1649,,0.53125,1.4747394323349,,
7,1699,,0.75,1.117600679397583,,
7,1711,,,,0.5112087726593018,1.2237393856048584
8,1749,,0.71875,1.1750949621200562,,
8,1799,,0.59375,1.2820727825164795,,
8,1849,,0.40625,1.3835145235061646,,
8,1899,,0.5,1.3239219188690186,,
8,1925,,,,0.5041758418083191,1.2013046741485596
9,1949,,0.59375,1.2124667167663574,,
9,1999,,0.5,1.4112780094146729,,
9,2049,,0.625,1.3155759572982788,,
9,2099,,0.375,1.4746166467666626,,
9,2139,,,,0.5098901391029358,1.1926032304763794
10,2149,,0.625,1.3575907945632935,,
10,2199,,0.46875,1.3001742362976074,,
10,2249,,0.53125,1.3741850852966309,,
10,2299,,0.59375,1.37135910987854,,
10,2349,,0.4375,1.4327400922775269,,
10,2353,,,,0.5186813473701477,1.2020102739334106
11,2399,,0.59375,1.3812474012374878,,
11,2449,,0.5625,1.3951276540756226,,
11,2499,,0.34375,1.4558720588684082,,
11,2549,,0.6875,1.262442946434021,,
11,2567,,,,0.4624175727367401,1.1972806453704834
12,2599,,0.53125,1.337525725364685,,
12,2649,,0.5625,1.3382500410079956,,
12,2699,,0.5625,1.284412145614624,,
12,2749,,0.71875,1.2082853317260742,,
12,2781,,,,0.5265933871269226,1.1902366876602173
13,2782,0.631237268447876,,,,
