epoch,step,train_acc,train_loss,val_acc,val_loss
0,37,,,0.3665018677711487,1.543837308883667
1,49,0.359375,1.4407273530960083,,
1,75,,,0.45302844047546387,1.1091139316558838
2,99,0.4375,1.2985341548919678,,
2,113,,,0.5414091348648071,1.1090790033340454
3,149,0.484375,1.0742406845092773,,
3,151,,,0.4647713303565979,1.0465501546859741
4,189,,,0.4734239876270294,1.0147573947906494
5,199,0.6171875,1.0493797063827515,,
5,227,,,0.6106303930282593,0.9595727920532227
6,249,0.6953125,1.0055696964263916,,
6,265,,,0.52163165807724,0.9622087478637695
7,299,0.6484375,0.9832485914230347,,
7,303,,,0.6019777655601501,0.9548867344856262
8,341,,,0.6143386960029602,0.9447467923164368
9,349,0.6171875,0.9618648290634155,,
9,379,,,0.6124845743179321,0.9488644599914551
10,399,0.6875,0.9389705657958984,,
10,417,,,0.5686032176017761,0.9508689641952515
11,449,0.6640625,0.9389312863349915,,
11,455,,,0.6143386960029602,0.9609469771385193
12,493,,,0.5970333814620972,0.9781908392906189
13,499,0.7421875,0.9159830808639526,,
13,531,,,0.5920889973640442,0.9628880620002747
14,549,0.6640625,0.9170883297920227,,
14,569,,,0.500618040561676,0.9826335906982422
15,599,0.6953125,0.9157347679138184,,
15,607,,,0.5920889973640442,0.9609851241111755
16,645,,,0.6013597249984741,0.9771528840065002
17,649,0.7890625,0.8512271046638489,,
17,683,,,0.5927070379257202,0.9766303896903992
18,699,0.734375,0.8790758848190308,,
18,721,,,0.5982694625854492,0.9857229590415955
19,749,0.8671875,0.8035323619842529,,
19,759,,,0.6050679683685303,0.9803951978683472
20,797,,,0.5030902624130249,0.9942625164985657
21,799,0.75,0.8290051221847534,,
21,835,,,0.6155747771263123,0.9873431921005249
22,849,0.7890625,0.8325340151786804,,
22,873,,,0.6069221496582031,0.9799898266792297
23,899,0.7890625,0.8115965127944946,,
23,911,,,0.5945611596107483,0.9902573823928833
24,949,0.7203390002250671,0.8565367460250854,,
24,949,,,0.6050679683685303,0.9883459806442261
25,987,,,0.6038318872451782,0.9891868233680725
26,999,0.71875,0.8798390030860901,,
26,1025,,,0.6038318872451782,0.9857580661773682
27,1049,0.8125,0.8494434356689453,,
27,1063,,,0.6019777655601501,0.9915257096290588
28,1099,0.6875,0.9019178152084351,,
28,1101,,,0.6007416844367981,0.9900303483009338
29,1139,,,0.5970333814620972,0.9888983964920044
