epoch,step,test_fusion_acc,train_acc,train_loss,val_acc,val_loss
0,49,,0.5,1.1606546640396118,,
0,99,,0.40625,1.2150704860687256,,
0,149,,0.5,1.2110271453857422,,
0,151,,,,0.4487020969390869,1.0535718202590942
1,199,,0.40625,1.161507487297058,,
1,249,,0.59375,1.0326911211013794,,
1,299,,0.34375,1.229798674583435,,
1,303,,,,0.5995055437088013,0.9981657266616821
2,349,,0.5,1.0959060192108154,,
2,399,,0.59375,1.1370638608932495,,
2,449,,0.625,0.9993969202041626,,
2,455,,,,0.5896168351173401,0.9735559821128845
3,499,,0.53125,1.0938735008239746,,
3,549,,0.65625,1.0014032125473022,,
3,599,,0.6875,0.9961971640586853,,
3,607,,,,0.5908529162406921,0.9727014899253845
4,649,,0.4375,1.1370739936828613,,
4,699,,0.71875,0.9552342891693115,,
4,749,,0.65625,1.0185949802398682,,
4,759,,,,0.6501854062080383,0.9659414887428284
5,799,,0.6875,0.9963381886482239,,
5,849,,0.53125,1.0832164287567139,,
5,899,,0.6875,0.9715541005134583,,
5,911,,,,0.515451192855835,0.946698784828186
6,949,,0.4375,1.1627273559570312,,
6,999,,0.59375,0.9613322019577026,,
6,1049,,0.5,1.0777769088745117,,
6,1063,,,,0.5809641480445862,0.9504753947257996
7,1099,,0.59375,0.9824563264846802,,
7,1149,,0.53125,1.0462994575500488,,
7,1199,,0.875,0.8865382671356201,,
7,1215,,,,0.6025958061218262,0.9729426503181458
8,1249,,0.6875,1.1020312309265137,,
8,1299,,0.59375,0.9785057306289673,,
8,1349,,0.5625,1.1242221593856812,,
8,1367,,,,0.6112484335899353,0.957526445388794
9,1399,,0.75,0.8549511432647705,,
9,1449,,0.625,1.0453263521194458,,
9,1499,,0.84375,0.8621573448181152,,
9,1519,,,,0.6149567365646362,0.949508011341095
10,1549,,0.84375,0.8880771994590759,,
10,1599,,0.8125,0.8685264587402344,,
10,1649,,0.65625,0.9690686464309692,,
10,1671,,,,0.6149567365646362,0.9580342769622803
11,1699,,0.75,0.809944748878479,,
11,1749,,0.78125,0.863862156867981,,
11,1799,,0.53125,1.1325647830963135,,
11,1823,,,,0.6093943119049072,0.9775578379631042
12,1849,,0.84375,0.8838405609130859,,
12,1899,,0.71875,0.7978684902191162,,
12,1949,,0.71875,0.8876544237136841,,
12,1975,,,,0.6248455047607422,0.9818321466445923
13,1999,,0.78125,0.8813927173614502,,
13,2049,,0.6875,0.9562085866928101,,
13,2099,,0.6875,0.9359555244445801,,
13,2127,,,,0.5976514220237732,0.9868730902671814
14,2149,,0.78125,0.8392974138259888,,
14,2199,,0.78125,0.7830431461334229,,
14,2249,,0.75,0.884787917137146,,
14,2279,,,,0.5074165463447571,0.9785064458847046
15,2299,,0.6875,0.8851567506790161,,
15,2349,,0.875,0.8211894631385803,,
15,2399,,0.625,1.0207666158676147,,
15,2431,,,,0.6168108582496643,0.9777398109436035
16,2449,,0.90625,0.735091507434845,,
16,2499,,0.8125,0.8034453988075256,,
16,2549,,0.78125,0.798818826675415,,
16,2583,,,,0.6304079294204712,0.9817122220993042
17,2599,,0.75,0.9160823225975037,,
17,2649,,0.8125,0.9416230916976929,,
17,2699,,0.65625,0.8703714609146118,,
17,2735,,,,0.5976514220237732,0.9849610328674316
18,2749,,0.6875,0.943565845489502,,
18,2799,,0.6875,0.8806588053703308,,
18,2849,,0.65625,0.9506262540817261,,
18,2887,,,,0.5988875031471252,0.9824845790863037
19,2899,,0.84375,0.85445636510849,,
19,2949,,0.8125,0.9110605716705322,,
19,2999,,0.78125,0.831296443939209,,
19,3039,,,,0.6149567365646362,0.9793229103088379
20,3049,,0.8125,0.7763545513153076,,
20,3099,,0.75,0.7913134098052979,,
20,3149,,0.84375,0.7886512279510498,,
20,3191,,,,0.6044499278068542,0.9750011563301086
21,3199,,0.78125,0.8179973363876343,,
21,3249,,0.6875,0.8419584035873413,,
21,3299,,0.8125,0.7762175798416138,,
21,3343,,,,0.6069221496582031,0.9836099743843079
22,3349,,0.8125,0.7957361936569214,,
22,3399,,0.75,0.8447195887565613,,
22,3449,,0.65625,0.8056894540786743,,
22,3495,,,,0.6081582307815552,0.9839072227478027
23,3499,,0.71875,0.863756000995636,,
23,3549,,0.8125,0.9821826219558716,,
23,3599,,0.78125,0.7992863655090332,,
23,3647,,,,0.6032138466835022,0.9784952402114868
24,3649,,0.84375,0.7486848831176758,,
24,3699,,0.75,0.7895286679267883,,
24,3749,,0.8125,0.7767794728279114,,
24,3799,,0.7727272510528564,0.9224810600280762,,
24,3799,,,,0.6131026148796082,0.9783336520195007
25,3849,,0.71875,0.8244516253471375,,
25,3899,,0.65625,1.1218767166137695,,
25,3949,,0.75,0.8729494214057922,,
25,3951,,,,0.6112484335899353,0.9829104542732239
26,3999,,0.65625,0.8665062785148621,,
26,4049,,0.78125,0.7885558605194092,,
26,4099,,0.8125,0.8296548128128052,,
26,4103,,,,0.6044499278068542,0.9863357543945312
27,4149,,0.8125,0.7694276571273804,,
27,4199,,0.6875,1.058670997619629,,
27,4249,,0.625,0.8843498229980469,,
27,4255,,,,0.6069221496582031,0.9863212704658508
28,4299,,0.8125,0.8455396890640259,,
28,4349,,0.65625,0.9432277679443359,,
28,4399,,0.8125,0.7898957133293152,,
28,4407,,,,0.6137206554412842,0.9873048663139343
29,4449,,0.78125,0.8213939666748047,,
29,4499,,0.6875,0.8507046699523926,,
29,4549,,0.71875,0.8936184644699097,,
29,4559,,,,0.6100123524665833,0.9841387271881104
30,4560,0.6977687478065491,,,,
