epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.25,1.5538170337677002,,
0,99,0.28125,1.5628411769866943,,
0,149,0.28125,1.3854883909225464,,
0,151,,,0.3862793445587158,1.2601920366287231
1,199,0.3125,1.369337797164917,,
1,249,0.28125,1.3441119194030762,,
1,299,0.4375,1.2137752771377563,,
1,303,,,0.4239802360534668,1.122646689414978
2,349,0.46875,1.3158247470855713,,
2,399,0.3125,1.2226834297180176,,
2,449,0.375,1.1921299695968628,,
2,455,,,0.4431396722793579,1.0668671131134033
3,499,0.28125,1.2240487337112427,,
3,549,0.46875,1.2032470703125,,
3,599,0.5625,1.174976110458374,,
3,607,,,0.46600741147994995,1.083343744277954
4,649,0.5625,1.0907009840011597,,
4,699,0.5625,1.2001055479049683,,
4,749,0.5,1.142076015472412,,
4,759,,,0.4184178113937378,1.0734041929244995
5,799,0.53125,1.1465340852737427,,
5,849,0.46875,1.1053518056869507,,
5,899,0.46875,1.2343292236328125,,
5,911,,,0.4431396722793579,1.0501099824905396
6,949,0.46875,1.1840550899505615,,
6,999,0.53125,1.1624400615692139,,
6,1049,0.40625,1.1682265996932983,,
6,1063,,,0.4134734272956848,1.0571988821029663
7,1099,0.53125,1.1879922151565552,,
7,1149,0.375,1.248384714126587,,
7,1199,0.3125,1.2532405853271484,,
7,1215,,,0.4320148229598999,1.0762656927108765
8,1249,0.4375,1.1125600337982178,,
8,1299,0.46875,1.252447247505188,,
8,1349,0.59375,1.117643117904663,,
8,1367,,,0.561186671257019,1.0187588930130005
9,1399,0.53125,1.1106692552566528,,
9,1449,0.625,1.1341874599456787,,
9,1499,0.4375,1.2142465114593506,,
9,1519,,,0.5642768740653992,1.052862286567688
10,1549,0.4375,1.109425663948059,,
10,1599,0.53125,1.1715325117111206,,
10,1649,0.59375,1.0856481790542603,,
10,1671,,,0.4598269462585449,1.0314527750015259
11,1699,0.4375,1.2231879234313965,,
11,1749,0.53125,1.155015230178833,,
11,1799,0.40625,1.2531980276107788,,
11,1823,,,0.5679851770401001,1.0251060724258423
12,1849,0.625,1.151825189590454,,
12,1899,0.53125,1.082428216934204,,
12,1949,0.59375,1.112804889678955,,
12,1975,,,0.44437578320503235,1.0462310314178467
13,1999,0.59375,1.1174815893173218,,
13,2049,0.5625,1.1935229301452637,,
13,2099,0.625,1.0496933460235596,,
13,2127,,,0.44993820786476135,1.018936038017273
14,2149,0.5,1.154396653175354,,
14,2199,0.5,1.117265224456787,,
14,2249,0.5,1.1719636917114258,,
14,2279,,,0.45797279477119446,1.0307098627090454
15,2299,0.5,1.148776650428772,,
15,2349,0.46875,1.2009278535842896,,
15,2399,0.46875,1.1916776895523071,,
15,2431,,,0.4449938237667084,1.0179320573806763
16,2449,0.5625,1.1084100008010864,,
16,2499,0.4375,1.1534191370010376,,
16,2549,0.4375,1.2143008708953857,,
16,2583,,,0.4728059470653534,1.007519006729126
17,2599,0.5625,1.0918962955474854,,
17,2649,0.53125,1.1165697574615479,,
17,2699,0.46875,1.1524715423583984,,
17,2735,,,0.5364647507667542,1.004751443862915
18,2749,0.5,1.1282235383987427,,
18,2799,0.59375,1.1369199752807617,,
18,2849,0.53125,1.127413034439087,,
18,2887,,,0.46600741147994995,1.0071067810058594
19,2899,0.53125,1.200434684753418,,
19,2949,0.59375,1.076101303100586,,
19,2999,0.5,1.1864577531814575,,
19,3039,,,0.5197774767875671,1.0055962800979614
20,3049,0.5,1.2128612995147705,,
20,3099,0.40625,1.3165514469146729,,
20,3149,0.53125,1.0943478345870972,,
20,3191,,,0.46600741147994995,1.0097441673278809
21,3199,0.28125,1.2011797428131104,,
21,3249,0.6875,0.9764397740364075,,
21,3299,0.71875,1.0149502754211426,,
21,3343,,,0.4969097673892975,1.0031049251556396
22,3349,0.75,1.0245007276535034,,
22,3399,0.625,1.0716323852539062,,
22,3449,0.53125,1.165170431137085,,
22,3495,,,0.4616810977458954,1.0104327201843262
23,3499,0.5625,1.0637837648391724,,
23,3549,0.40625,1.3146575689315796,,
23,3599,0.5,1.079447627067566,,
23,3647,,,0.5302842855453491,1.0014606714248657
24,3649,0.625,1.123083472251892,,
24,3699,0.53125,1.1247177124023438,,
24,3749,0.65625,1.0133392810821533,,
24,3799,0.5454545617103577,1.104779839515686,,
24,3799,,,0.489493191242218,0.9998898506164551
25,3849,0.5625,1.0890591144561768,,
25,3899,0.40625,1.2104347944259644,,
25,3949,0.75,1.0565664768218994,,
25,3951,,,0.48702099919319153,1.0083229541778564
26,3999,0.40625,1.242698311805725,,
26,4049,0.53125,1.1431471109390259,,
26,4099,0.46875,1.161291480064392,,
26,4103,,,0.509888768196106,1.000282883644104
27,4149,0.625,1.1298712491989136,,
27,4199,0.625,1.0401349067687988,,
27,4249,0.75,1.018451452255249,,
27,4255,,,0.47095179557800293,1.001112699508667
28,4299,0.53125,1.0655394792556763,,
28,4349,0.59375,1.0878353118896484,,
28,4399,0.46875,1.074097752571106,,
28,4407,,,0.5519159436225891,0.9992256164550781
29,4449,0.5625,1.1026537418365479,,
29,4499,0.5625,1.1363623142242432,,
29,4549,0.625,1.0426161289215088,,
29,4559,,,0.506798505783081,1.001339316368103
