epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.421875,1.472723364830017,,
0,75,,,0.39802226424217224,1.3851627111434937
1,99,0.421875,1.3400328159332275,,
1,149,0.4375,1.3315801620483398,,
1,151,,,0.4054388105869293,1.2072901725769043
2,199,0.515625,1.1981720924377441,,
2,227,,,0.38504326343536377,1.136756420135498
3,249,0.34375,1.358805537223816,,
3,299,0.46875,1.2010059356689453,,
3,303,,,0.40914708375930786,1.1315187215805054
4,349,0.4375,1.2209616899490356,,
4,379,,,0.39802226424217224,1.0807360410690308
5,399,0.46875,1.2120023965835571,,
5,449,0.34375,1.1770817041397095,,
5,455,,,0.44375771284103394,1.0915846824645996
6,499,0.453125,1.1488234996795654,,
6,531,,,0.4215080440044403,1.0774481296539307
7,549,0.515625,1.1599607467651367,,
7,599,0.453125,1.2237672805786133,,
7,607,,,0.52163165807724,1.0710632801055908
8,649,0.46875,1.1439850330352783,,
8,683,,,0.4215080440044403,1.0403372049331665
9,699,0.390625,1.1865417957305908,,
9,749,0.65625,1.0805028676986694,,
9,759,,,0.40420272946357727,1.0827749967575073
10,799,0.453125,1.163704752922058,,
10,835,,,0.47713226079940796,1.0239598751068115
11,849,0.59375,1.07027006149292,,
11,899,0.53125,1.1572582721710205,,
11,911,,,0.5018541216850281,0.9856340289115906
12,949,0.671875,0.9944431781768799,,
12,987,,,0.5457354784011841,0.9685075879096985
13,999,0.515625,1.1209663152694702,,
13,1049,0.578125,1.0471981763839722,,
13,1063,,,0.52163165807724,0.9504311084747314
14,1099,0.59375,1.1065346002578735,,
14,1139,,,0.5080345869064331,0.9493088126182556
15,1149,0.5625,1.1098206043243408,,
15,1199,0.53125,1.1128753423690796,,
15,1215,,,0.544499397277832,0.949722409248352
16,1249,0.546875,1.1173980236053467,,
16,1291,,,0.5686032176017761,0.940987229347229
17,1299,0.75,0.9947322010993958,,
17,1349,0.53125,0.9986447691917419,,
17,1367,,,0.5302842855453491,0.9290119409561157
18,1399,0.609375,1.0895538330078125,,
18,1443,,,0.5568603277206421,0.9361100196838379
19,1449,0.5625,1.1633689403533936,,
19,1499,0.640625,1.0448857545852661,,
19,1519,,,0.560568630695343,0.9253156781196594
20,1549,0.71875,1.0303692817687988,,
20,1595,,,0.5964153409004211,0.9212114810943604
21,1599,0.515625,1.145446538925171,,
21,1649,0.640625,1.0873992443084717,,
21,1671,,,0.6489493250846863,0.942180335521698
22,1699,0.625,1.0168309211730957,,
22,1747,,,0.6365883946418762,0.9171406030654907
23,1749,0.59375,1.0371907949447632,,
23,1799,0.625,0.9856711030006409,,
23,1823,,,0.5933250784873962,0.9166816473007202
24,1849,0.6875,1.0310468673706055,,
24,1899,0.7407407164573669,0.9577680230140686,,
24,1899,,,0.6013597249984741,0.9110932946205139
25,1949,0.609375,1.0289019346237183,,
25,1975,,,0.5908529162406921,0.9241151809692383
26,1999,0.625,1.0318901538848877,,
26,2049,0.59375,1.080736517906189,,
26,2051,,,0.5302842855453491,0.9140713214874268
27,2099,0.703125,1.0296945571899414,,
27,2127,,,0.6223732829093933,0.9123331308364868
28,2149,0.71875,1.0301568508148193,,
28,2199,0.5625,1.0197875499725342,,
28,2203,,,0.6334981322288513,0.9118594527244568
29,2249,0.703125,1.025596022605896,,
29,2279,,,0.6075401902198792,0.9059183597564697
