epoch,step,test_fusion_acc,train_acc,train_loss,val_acc,val_loss
0,49,,0.3125,1.4702950716018677,,
0,99,,0.40625,1.1918221712112427,,
0,149,,0.46875,1.1605514287948608,,
0,151,,,,0.4480840563774109,1.1296926736831665
1,199,,0.375,1.3772087097167969,,
1,249,,0.5,1.1113473176956177,,
1,299,,0.46875,1.2057851552963257,,
1,303,,,,0.45488256216049194,1.0857696533203125
2,349,,0.5,1.2247097492218018,,
2,399,,0.5625,1.0891488790512085,,
2,449,,0.5,1.3317679166793823,,
2,455,,,,0.41718170046806335,1.0741643905639648
3,499,,0.4375,1.108999252319336,,
3,549,,0.46875,1.1130306720733643,,
3,599,,0.5,1.1345062255859375,,
3,607,,,,0.49814584851264954,1.0265699625015259
4,649,,0.375,1.1999938488006592,,
4,699,,0.4375,1.122266411781311,,
4,749,,0.34375,1.4146397113800049,,
4,759,,,,0.5469715595245361,1.0074048042297363
5,799,,0.5,1.0540941953659058,,
5,849,,0.46875,1.1319042444229126,,
5,899,,0.4375,1.198395848274231,,
5,911,,,,0.5519159436225891,0.9894564747810364
6,949,,0.40625,1.1858017444610596,,
6,999,,0.65625,1.0794445276260376,,
6,1049,,0.5625,1.0574758052825928,,
6,1063,,,,0.538318932056427,0.9664487242698669
7,1099,,0.5625,1.12628173828125,,
7,1149,,0.78125,0.9768527746200562,,
7,1199,,0.6875,0.973297119140625,,
7,1215,,,,0.510506808757782,0.9720357656478882
8,1249,,0.625,1.0262125730514526,,
8,1299,,0.46875,1.1788434982299805,,
8,1349,,0.53125,1.1247539520263672,,
8,1367,,,,0.5599505305290222,0.9618352055549622
9,1399,,0.625,1.0093456506729126,,
9,1449,,0.59375,1.106052041053772,,
9,1499,,0.5,1.1851611137390137,,
9,1519,,,,0.5920889973640442,0.9459154009819031
10,1520,0.679513156414032,,,,
