epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.3125,1.8811235427856445,,
0,99,0.4375,1.5641098022460938,,
0,149,0.1875,1.9958584308624268,,
0,199,0.3125,1.6593841314315796,,
0,249,0.3125,1.7082304954528809,,
0,299,0.3125,1.6915733814239502,,
0,349,0.5,1.2828201055526733,,
0,399,0.4375,1.4938163757324219,,
0,449,0.40625,1.6192562580108643,,
0,499,0.3125,1.778737187385559,,
0,549,0.375,1.550964117050171,,
0,599,0.3125,1.5842700004577637,,
0,649,0.25,1.808312177658081,,
0,699,0.375,1.6137404441833496,,
0,749,0.375,1.6187888383865356,,
0,799,0.46875,1.4591388702392578,,
0,849,0.4375,1.7008090019226074,,
0,878,,,0.3432888388633728,1.5063530206680298
1,899,0.34375,1.588139295578003,,
1,949,0.46875,1.4628047943115234,,
1,999,0.3125,1.7987899780273438,,
1,1049,0.4375,1.5383583307266235,,
1,1099,0.5,1.6699607372283936,,
1,1149,0.40625,1.5618783235549927,,
1,1199,0.4375,1.6033912897109985,,
1,1249,0.4375,1.4585106372833252,,
1,1299,0.3125,1.612522840499878,,
1,1349,0.4375,1.6071662902832031,,
1,1399,0.4375,1.6050803661346436,,
1,1449,0.34375,1.6795786619186401,,
1,1499,0.5,1.5102840662002563,,
1,1549,0.34375,1.7751426696777344,,
1,1599,0.4375,1.4137868881225586,,
1,1649,0.3125,1.582842230796814,,
1,1699,0.375,1.6299495697021484,,
1,1749,0.5,1.4681857824325562,,
1,1757,,,0.38316935300827026,1.4817030429840088
2,1799,0.34375,1.6208745241165161,,
2,1849,0.40625,1.7348424196243286,,
2,1899,0.4375,1.5833008289337158,,
2,1949,0.59375,1.2715435028076172,,
2,1999,0.40625,1.684788703918457,,
2,2049,0.3125,1.5698814392089844,,
2,2099,0.46875,1.583288550376892,,
2,2149,0.28125,1.5009875297546387,,
2,2199,0.3125,1.5286376476287842,,
2,2249,0.40625,1.5675957202911377,,
2,2299,0.4375,1.5875823497772217,,
2,2349,0.4375,1.576524257659912,,
2,2399,0.34375,1.5245651006698608,,
2,2449,0.40625,1.6403822898864746,,
2,2499,0.375,1.6760703325271606,,
2,2549,0.40625,1.5973670482635498,,
2,2599,0.40625,1.4993518590927124,,
2,2636,,,0.455903023481369,1.3537206649780273
3,2649,0.375,1.6662994623184204,,
3,2699,0.59375,1.41730535030365,,
3,2749,0.53125,1.2957839965820312,,
3,2799,0.5625,1.482366919517517,,
3,2849,0.5,1.4927978515625,,
3,2899,0.375,1.5564712285995483,,
3,2949,0.46875,1.42236328125,,
3,2999,0.375,1.6123778820037842,,
3,3049,0.4375,1.7809569835662842,,
3,3099,0.65625,1.3846079111099243,,
3,3149,0.4375,1.5244630575180054,,
3,3199,0.5,1.4601109027862549,,
3,3249,0.5625,1.4585882425308228,,
3,3299,0.59375,1.442285180091858,,
3,3349,0.625,1.450076699256897,,
3,3399,0.34375,1.7003600597381592,,
3,3449,0.5625,1.6122157573699951,,
3,3499,0.625,1.2680854797363281,,
3,3515,,,0.46011945605278015,1.3583735227584839
4,3549,0.5625,1.409826636314392,,
4,3599,0.46875,1.5343714952468872,,
4,3649,0.5,1.3591678142547607,,
4,3699,0.46875,1.6541821956634521,,
4,3749,0.40625,1.565486192703247,,
4,3799,0.5625,1.3686593770980835,,
4,3849,0.40625,1.5535647869110107,,
4,3899,0.65625,1.3065325021743774,,
4,3949,0.34375,1.5888257026672363,,
4,3999,0.5,1.4442936182022095,,
4,4049,0.625,1.3164031505584717,,
4,4099,0.5625,1.3715171813964844,,
4,4149,0.5625,1.4535353183746338,,
4,4199,0.34375,1.759303331375122,,
4,4249,0.34375,1.505419135093689,,
4,4299,0.40625,1.455541968345642,,
4,4349,0.5,1.6051580905914307,,
4,4394,,,0.4550246000289917,1.3566561937332153
5,4399,0.6875,1.1676051616668701,,
5,4449,0.78125,1.2765926122665405,,
5,4499,0.5625,1.316845178604126,,
5,4549,0.625,1.2503143548965454,,
5,4599,0.53125,1.403662919998169,,
5,4649,0.625,1.3237625360488892,,
5,4699,0.5625,1.2692416906356812,,
5,4749,0.6875,1.3017815351486206,,
5,4799,0.4375,1.533674955368042,,
5,4849,0.625,1.4172840118408203,,
5,4899,0.46875,1.3841898441314697,,
5,4949,0.625,1.195007085800171,,
5,4999,0.4375,1.4532896280288696,,
5,5049,0.59375,1.3673903942108154,,
5,5099,0.5,1.4765594005584717,,
5,5149,0.5,1.4278953075408936,,
5,5199,0.46875,1.461443305015564,,
5,5249,0.40625,1.5024601221084595,,
5,5273,,,0.45572733879089355,1.3652851581573486
