epoch,step,test_fusion_acc,train_acc,train_loss,val_acc,val_loss
0,49,,0.375,1.2805759906768799,,
0,99,,0.4375,1.3572458028793335,,
0,149,,0.5625,1.279829740524292,,
0,151,,,,0.483930766582489,1.0888571739196777
1,199,,0.28125,1.3615200519561768,,
1,249,,0.46875,1.1606392860412598,,
1,299,,0.34375,1.303930640220642,,
1,303,,,,0.49381953477859497,1.0616093873977661
2,349,,0.4375,1.1388946771621704,,
2,399,,0.65625,1.0879448652267456,,
2,449,,0.625,1.1396901607513428,,
2,455,,,,0.5259580016136169,1.025986671447754
3,499,,0.59375,1.1015831232070923,,
3,549,,0.625,1.0915038585662842,,
3,599,,0.59375,1.0882153511047363,,
3,607,,,,0.4845488369464874,1.021289348602295
4,649,,0.53125,1.0950698852539062,,
4,699,,0.65625,1.0400351285934448,,
4,749,,0.4375,1.152191400527954,,
4,759,,,,0.5896168351173401,0.9892702102661133
5,760,0.7297723889350891,,,,
