epoch,step,test_fusion_acc,train_acc,train_loss,val_acc,val_loss
0,49,,0.40625,1.3165392875671387,,
0,99,,0.53125,1.0800952911376953,,
0,149,,0.625,1.0754611492156982,,
0,151,,,,0.43881335854530334,1.1282137632369995
1,199,,0.59375,1.0574984550476074,,
1,249,,0.625,1.177040934562683,,
1,299,,0.53125,1.1253931522369385,,
1,303,,,,0.483930766582489,1.02860426902771
2,349,,0.53125,1.075231909751892,,
2,399,,0.5625,1.1099328994750977,,
2,449,,0.375,1.0900501012802124,,
2,455,,,,0.5197774767875671,1.0021281242370605
3,499,,0.71875,1.0655328035354614,,
3,549,,0.65625,1.0659815073013306,,
3,599,,0.625,1.1924786567687988,,
3,607,,,,0.5957973003387451,0.9751164317131042
4,649,,0.6875,0.9979143142700195,,
4,699,,0.71875,0.9848203659057617,,
4,749,,0.59375,1.0069319009780884,,
4,759,,,,0.555006206035614,0.9931416511535645
5,799,,0.6875,0.9186511039733887,,
5,849,,0.5625,1.0140366554260254,,
5,899,,0.71875,0.9606286287307739,,
5,911,,,,0.5203955769538879,0.9706299304962158
6,949,,0.71875,0.9333593845367432,,
6,999,,0.59375,1.0855662822723389,,
6,1049,,0.65625,1.0572081804275513,,
6,1063,,,,0.5741656422615051,0.9811095595359802
7,1099,,0.71875,1.0616930723190308,,
7,1149,,0.71875,0.8861310482025146,,
7,1199,,0.75,0.8866992592811584,,
7,1215,,,,0.5080345869064331,0.9699928164482117
8,1249,,0.8125,0.9067881107330322,,
8,1299,,0.75,0.909846842288971,,
8,1349,,0.78125,0.8447626829147339,,
8,1367,,,,0.5976514220237732,0.9582403898239136
9,1399,,0.65625,0.9591993093490601,,
9,1449,,0.71875,0.8872908353805542,,
9,1499,,0.75,0.8877534866333008,,
9,1519,,,,0.5624227523803711,0.9614541530609131
10,1549,,0.71875,0.9081047177314758,,
10,1599,,0.625,0.9616920948028564,,
10,1649,,0.75,0.9499281644821167,,
10,1671,,,,0.5859085321426392,0.9831346869468689
11,1699,,0.625,0.8984066247940063,,
11,1749,,0.65625,0.9748800992965698,,
11,1799,,0.6875,0.949887216091156,,
11,1823,,,,0.5135970115661621,0.9858332872390747
