epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.21875,1.95051109790802,,
0,99,0.421875,1.7016295194625854,,
0,149,0.15625,1.9133307933807373,,
0,199,0.296875,1.8292503356933594,,
0,249,0.265625,1.794927954673767,,
0,299,0.390625,1.7035293579101562,,
0,349,0.390625,1.592360258102417,,
0,399,0.28125,1.7373065948486328,,
0,439,,,0.3225579857826233,1.621702790260315
1,449,0.421875,1.7311996221542358,,
1,499,0.296875,1.8134422302246094,,
1,549,0.296875,1.6842864751815796,,
1,599,0.359375,1.5832436084747314,,
1,649,0.34375,1.6111923456192017,,
1,699,0.3125,1.6209319829940796,,
1,749,0.453125,1.5772067308425903,,
1,799,0.265625,1.7634506225585938,,
1,849,0.40625,1.6152201890945435,,
1,879,,,0.38070976734161377,1.5688930749893188
2,899,0.296875,1.7189521789550781,,
2,949,0.4375,1.5950039625167847,,
2,999,0.46875,1.6294989585876465,,
2,1049,0.375,1.5806548595428467,,
2,1099,0.359375,1.6378462314605713,,
2,1149,0.46875,1.473375678062439,,
2,1199,0.40625,1.6250114440917969,,
2,1249,0.296875,1.6316837072372437,,
2,1299,0.375,1.6650042533874512,,
2,1319,,,0.3308151662349701,1.5452747344970703
3,1349,0.40625,1.612418293952942,,
3,1399,0.328125,1.7341175079345703,,
3,1449,0.34375,1.5612430572509766,,
3,1499,0.421875,1.6092729568481445,,
3,1549,0.375,1.6214299201965332,,
3,1599,0.359375,1.5885555744171143,,
3,1649,0.453125,1.602249264717102,,
3,1699,0.484375,1.599587082862854,,
3,1749,0.5,1.557516098022461,,
3,1759,,,0.42480674386024475,1.467162013053894
4,1799,0.234375,1.8308122158050537,,
4,1849,0.390625,1.578019142150879,,
4,1899,0.375,1.4811863899230957,,
4,1949,0.515625,1.467103123664856,,
4,1999,0.484375,1.5044835805892944,,
4,2049,0.4375,1.5315032005310059,,
4,2099,0.484375,1.4839766025543213,,
4,2149,0.390625,1.761670470237732,,
4,2199,0.375,1.5607494115829468,,
4,2199,,,0.4226985275745392,1.422693133354187
5,2249,0.28125,1.7848269939422607,,
5,2299,0.375,1.5743889808654785,,
5,2349,0.453125,1.4481068849563599,,
5,2399,0.515625,1.4138891696929932,,
5,2449,0.484375,1.4414626359939575,,
5,2499,0.484375,1.565626859664917,,
5,2549,0.5625,1.4075732231140137,,
5,2599,0.484375,1.5725208520889282,,
5,2639,,,0.37157413363456726,1.442419171333313
