epoch,step,test_fusion_acc,train_acc,train_loss,val_acc,val_loss
0,49,,0.328125,1.826979398727417,,
0,99,,0.3125,1.5810599327087402,,
0,106,,,,0.3243955969810486,1.4908844232559204
1,149,,0.375,1.6161364316940308,,
1,199,,0.375,1.635944128036499,,
1,213,,,,0.41318681836128235,1.4008855819702148
2,249,,0.421875,1.6051318645477295,,
2,299,,0.40625,1.593093991279602,,
2,320,,,,0.35780221223831177,1.4559005498886108
3,349,,0.4375,1.5114240646362305,,
3,399,,0.484375,1.438581943511963,,
3,427,,,,0.4118681252002716,1.4333834648132324
4,449,,0.40625,1.59859299659729,,
4,499,,0.375,1.5588915348052979,,
4,534,,,,0.41846153140068054,1.3816821575164795
5,549,,0.375,1.5600253343582153,,
5,599,,0.578125,1.4653059244155884,,
5,641,,,,0.3643956184387207,1.395200490951538
6,649,,0.484375,1.4500980377197266,,
6,699,,0.546875,1.3962011337280273,,
6,748,,,,0.4254944920539856,1.3449313640594482
7,749,,0.640625,1.3046194314956665,,
7,799,,0.484375,1.4231085777282715,,
7,849,,0.4375,1.4769151210784912,,
7,855,,,,0.43208789825439453,1.3301482200622559
8,899,,0.46875,1.56488835811615,,
8,949,,0.484375,1.5583833456039429,,
8,962,,,,0.49098899960517883,1.3155131340026855
9,999,,0.53125,1.4050296545028687,,
9,1049,,0.46875,1.3898507356643677,,
9,1069,,,,0.46637362241744995,1.3095753192901611
10,1099,,0.484375,1.5375678539276123,,
10,1149,,0.4375,1.468066692352295,,
10,1176,,,,0.4896703362464905,1.3124343156814575
11,1199,,0.484375,1.554652214050293,,
11,1249,,0.515625,1.4763818979263306,,
11,1283,,,,0.4426373541355133,1.2910009622573853
12,1299,,0.46875,1.4339845180511475,,
12,1349,,0.453125,1.468317985534668,,
12,1390,,,,0.46901097893714905,1.2774981260299683
13,1391,0.5867186188697815,,,,
