epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.34375,1.3777902126312256,,
0,99,0.5,1.1461193561553955,,
0,149,0.5,1.1638277769088745,,
0,151,,,0.5241038203239441,1.090832233428955
1,199,0.46875,1.2100450992584229,,
1,249,0.53125,1.198654294013977,,
1,299,0.625,1.0372939109802246,,
1,303,,,0.4561186730861664,1.0698225498199463
2,349,0.4375,1.1545177698135376,,
2,399,0.6875,1.0658535957336426,,
2,449,0.46875,1.2873694896697998,,
2,455,,,0.4845488369464874,1.0281178951263428
3,499,0.5625,1.0353672504425049,,
3,549,0.46875,1.1842217445373535,,
3,599,0.5,1.1403554677963257,,
3,607,,,0.5475896000862122,1.018539547920227
4,649,0.75,0.9651504158973694,,
4,699,0.65625,1.0152952671051025,,
4,749,0.65625,1.0222262144088745,,
4,759,,,0.54326331615448,0.9714766144752502
