epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.1875,2.1407623291015625,,
0,99,0.28125,1.8448318243026733,,
0,149,0.21875,1.8625503778457642,,
0,199,0.3125,1.8048354387283325,,
0,249,0.46875,1.6119201183319092,,
0,299,0.28125,1.852697730064392,,
0,349,0.34375,1.6289931535720825,,
0,399,0.09375,1.9459426403045654,,
0,449,0.15625,1.7829811573028564,,
0,499,0.28125,1.8461380004882812,,
0,549,0.3125,1.5430617332458496,,
0,599,0.375,1.6865997314453125,,
0,649,0.21875,1.7183318138122559,,
0,699,0.28125,1.7991728782653809,,
0,749,0.25,1.7366523742675781,,
0,799,0.3125,1.7991889715194702,,
0,849,0.25,1.8557151556015015,,
0,878,,,0.363668292760849,1.5257203578948975
1,899,0.28125,1.8905638456344604,,
1,949,0.4375,1.4215397834777832,,
1,999,0.34375,1.6120201349258423,,
1,1049,0.375,1.7234389781951904,,
1,1099,0.46875,1.4571410417556763,,
1,1149,0.46875,1.4383286237716675,,
1,1199,0.34375,1.8072218894958496,,
1,1249,0.46875,1.5724960565567017,,
1,1299,0.40625,1.4950599670410156,,
1,1349,0.3125,1.690659999847412,,
1,1399,0.3125,1.5454624891281128,,
1,1449,0.375,1.5418484210968018,,
1,1499,0.34375,1.760704755783081,,
1,1549,0.53125,1.5320541858673096,,
1,1599,0.34375,1.6651427745819092,,
1,1649,0.46875,1.5465819835662842,,
1,1699,0.34375,1.524094820022583,,
1,1749,0.40625,1.9856984615325928,,
1,1757,,,0.43973997235298157,1.4511687755584717
2,1799,0.3125,1.8496410846710205,,
2,1849,0.3125,1.6240997314453125,,
2,1899,0.4375,1.5308585166931152,,
2,1949,0.40625,1.5365180969238281,,
2,1999,0.4375,1.5640640258789062,,
2,2049,0.4375,1.541020154953003,,
2,2099,0.25,1.9765735864639282,,
2,2149,0.4375,1.5913422107696533,,
2,2199,0.46875,1.6619569063186646,,
2,2249,0.53125,1.4418398141860962,,
2,2299,0.3125,1.7249099016189575,,
2,2349,0.375,1.5785080194473267,,
2,2399,0.4375,1.3761123418807983,,
2,2449,0.5,1.4286750555038452,,
2,2499,0.53125,1.3577485084533691,,
2,2549,0.5,1.4165843725204468,,
2,2599,0.40625,1.5347869396209717,,
2,2636,,,0.4009135663509369,1.4513007402420044
3,2649,0.28125,1.84975266456604,,
3,2699,0.4375,1.6302374601364136,,
3,2749,0.53125,1.5055259466171265,,
