epoch,step,test_fusion_acc,train_acc,train_loss,val_acc,val_loss
0,49,,0.359375,1.668351650238037,,
0,53,,,,0.36263737082481384,1.5001251697540283
1,99,,0.390625,1.5376396179199219,,
1,107,,,,0.4202197790145874,1.438427209854126
2,149,,0.4609375,1.487227201461792,,
2,161,,,,0.40131866931915283,1.377622365951538
3,199,,0.53125,1.4382798671722412,,
3,215,,,,0.46065935492515564,1.338619589805603
4,249,,0.5,1.4516191482543945,,
4,269,,,,0.4254944920539856,1.3180826902389526
5,299,,0.4453125,1.4752933979034424,,
5,323,,,,0.4404395520687103,1.3191626071929932
6,349,,0.5859375,1.369056224822998,,
6,377,,,,0.4865933954715729,1.2950832843780518
7,399,,0.578125,1.3817989826202393,,
7,431,,,,0.4430769085884094,1.2801764011383057
8,449,,0.578125,1.2964465618133545,,
8,485,,,,0.41626372933387756,1.3010812997817993
9,499,,0.515625,1.4504748582839966,,
9,539,,,,0.4448351562023163,1.2632054090499878
10,549,,0.5,1.3606160879135132,,
10,593,,,,0.5160439610481262,1.2758880853652954
11,599,,0.609375,1.2784430980682373,,
11,647,,,,0.5068131685256958,1.2553534507751465
12,649,,0.6640625,1.2196043729782104,,
12,699,,0.5625,1.3408149480819702,,
12,701,,,,0.5116483569145203,1.2525161504745483
13,749,,0.6328125,1.3162188529968262,,
13,755,,,,0.44923076033592224,1.245651364326477
14,799,,0.6171875,1.3489519357681274,,
14,809,,,,0.49186813831329346,1.2296696901321411
15,849,,0.59375,1.2656941413879395,,
15,863,,,,0.5287911891937256,1.237752914428711
16,899,,0.6015625,1.286280632019043,,
16,917,,,,0.5516483783721924,1.2322982549667358
17,949,,0.59375,1.305472731590271,,
17,971,,,,0.5112087726593018,1.222288966178894
18,999,,0.5859375,1.2612113952636719,,
18,1025,,,,0.5138461589813232,1.2578762769699097
19,1049,,0.640625,1.2390384674072266,,
19,1079,,,,0.5103296637535095,1.2395219802856445
20,1099,,0.6796875,1.2216475009918213,,
20,1133,,,,0.4905494451522827,1.2373310327529907
21,1149,,0.640625,1.274787187576294,,
21,1187,,,,0.5292307734489441,1.2215206623077393
22,1199,,0.6875,1.194392442703247,,
22,1241,,,,0.5327472686767578,1.222762942314148
23,1249,,0.703125,1.1756623983383179,,
23,1295,,,,0.5287911891937256,1.2265201807022095
24,1299,,0.6875,1.1711628437042236,,
24,1349,,0.6341463327407837,1.2441158294677734,,
24,1349,,,,0.5301098823547363,1.2119431495666504
25,1399,,0.6171875,1.264654278755188,,
25,1403,,,,0.5301098823547363,1.2210363149642944
26,1449,,0.671875,1.194133996963501,,
26,1457,,,,0.5274725556373596,1.2111198902130127
27,1499,,0.6484375,1.211243987083435,,
27,1511,,,,0.53362637758255,1.2101434469223022
28,1549,,0.640625,1.192887544631958,,
28,1565,,,,0.5226373672485352,1.2077401876449585
29,1599,,0.578125,1.2411240339279175,,
29,1619,,,,0.5287911891937256,1.2054119110107422
30,1620,0.6106473803520203,,,,
