epoch,step,test_fusion_acc,train_acc,train_loss,val_acc,val_loss
0,49,,0.15625,1.6100342273712158,,
0,99,,0.1875,1.6106836795806885,,
0,149,,0.28125,1.6072802543640137,,
0,151,,,,0.18912237882614136,1.6096266508102417
1,199,,0.1875,1.6057665348052979,,
1,249,,0.15625,1.6164746284484863,,
1,299,,0.1875,1.6102099418640137,,
1,303,,,,0.18912237882614136,1.609511375427246
2,349,,0.15625,1.6087646484375,,
2,399,,0.21875,1.6030126810073853,,
2,449,,0.21875,1.60888671875,,
2,455,,,,0.18912237882614136,1.609654426574707
3,499,,0.21875,1.6080273389816284,,
3,549,,0.28125,1.6080273389816284,,
3,599,,0.375,1.6013915538787842,,
3,607,,,,0.18912237882614136,1.6095718145370483
4,649,,0.3125,1.6094727516174316,,
4,699,,0.15625,1.6048583984375,,
4,749,,0.28125,1.6041502952575684,,
4,759,,,,0.18912237882614136,1.6099326610565186
5,799,,0.25,1.6030762195587158,,
5,849,,0.125,1.6025390625,,
5,899,,0.125,1.6116211414337158,,
5,911,,,,0.18912237882614136,1.6099846363067627
6,949,,0.3125,1.610537052154541,,
6,999,,0.28125,1.5991357564926147,,
6,1049,,0.28125,1.6016113758087158,,
6,1063,,,,0.18912237882614136,1.6095765829086304
7,1099,,0.3125,1.6008496284484863,,
7,1149,,0.3125,1.607993245124817,,
7,1199,,0.28125,1.609375,,
7,1215,,,,0.18912237882614136,1.6091070175170898
8,1249,,0.1875,1.6211669445037842,,
8,1299,,0.34375,1.6044189929962158,,
8,1349,,0.1875,1.614316463470459,,
8,1367,,,,0.18912237882614136,1.6097298860549927
9,1399,,0.1875,1.6057860851287842,,
9,1449,,0.125,1.610678791999817,,
9,1499,,0.25,1.6024169921875,,
9,1519,,,,0.18912237882614136,1.60952889919281
10,1549,,0.125,1.609653353691101,,
10,1599,,0.21875,1.6014257669448853,,
10,1649,,0.125,1.6049267053604126,,
10,1671,,,,0.18912237882614136,1.6093659400939941
11,1699,,0.09375,1.6170556545257568,,
11,1749,,0.21875,1.6067041158676147,,
11,1799,,0.1875,1.6139013767242432,,
11,1823,,,,0.18912237882614136,1.6093387603759766
12,1849,,0.21875,1.6028906106948853,,
12,1899,,0.4375,1.6033692359924316,,
12,1949,,0.21875,1.612490177154541,,
12,1975,,,,0.18912237882614136,1.6093671321868896
13,1999,,0.1875,1.6048340797424316,,
13,2049,,0.21875,1.608212947845459,,
13,2099,,0.09375,1.611777424812317,,
13,2127,,,,0.18912237882614136,1.6093864440917969
14,2149,,0.375,1.6016943454742432,,
14,2199,,0.25,1.6048583984375,,
14,2249,,0.125,1.6185545921325684,,
14,2279,,,,0.18912237882614136,1.6093828678131104
15,2299,,0.15625,1.6184325218200684,,
15,2349,,0.15625,1.6134033203125,,
15,2399,,0.15625,1.6144872903823853,,
15,2431,,,,0.18912237882614136,1.6095892190933228
16,2449,,0.3125,1.6029541492462158,,
16,2499,,0.15625,1.6166749000549316,,
16,2549,,0.21875,1.6116211414337158,,
16,2583,,,,0.18912237882614136,1.6095681190490723
17,2599,,0.3125,1.5970947742462158,,
17,2649,,0.21875,1.6118896007537842,,
17,2699,,0.125,1.6148681640625,,
17,2735,,,,0.18912237882614136,1.6093852519989014
18,2749,,0.1875,1.6032226085662842,,
18,2799,,0.15625,1.612851619720459,,
18,2849,,0.28125,1.6115820407867432,,
18,2887,,,,0.18912237882614136,1.609586238861084
19,2899,,0.15625,1.6078858375549316,,
19,2949,,0.34375,1.5977636575698853,,
